date,symbol,close,volume,open,high,low
2026-01-02,AAPL,233.5,52300000,232.0,234.8,231.2
2026-01-03,AAPL,235.2,58100000,233.8,236.0,233.4
2026-01-06,AAPL,237.1,49800000,235.5,237.9,235.0
2026-01-07,AAPL,234.8,61200000,237.2,237.5,234.1
2026-01-08,AAPL,236.4,55600000,235.0,237.3,234.6
2026-01-09,AAPL,238.9,63500000,236.8,239.5,236.2
2026-01-10,AAPL,240.3,67200000,239.1,241.0,238.5
2026-01-13,AAPL,239.1,48900000,240.5,241.2,238.4
2026-01-14,AAPL,241.5,54700000,239.4,242.3,239.0
2026-01-15,AAPL,243.2,58400000,241.8,244.0,241.2
2026-01-16,AAPL,241.8,51200000,243.4,243.8,241.0
2026-01-17,AAPL,244.1,56300000,242.0,244.9,241.6
2026-01-20,AAPL,246.5,62100000,244.3,247.2,243.8
2026-01-21,AAPL,248.3,71500000,246.8,249.5,246.0
2026-01-22,AAPL,246.9,59200000,248.5,249.0,246.1
2026-01-23,AAPL,249.2,64800000,247.1,250.0,246.7
2026-01-24,AAPL,251.6,72300000,249.5,252.3,249.0
2026-01-27,AAPL,250.1,53400000,251.8,252.5,249.4
2026-01-28,AAPL,252.4,58900000,250.3,253.1,250.0
2026-01-29,AAPL,254.8,66100000,252.6,255.5,252.0
2026-01-30,AAPL,253.2,50800000,254.9,255.2,252.4
2026-02-03,AAPL,255.7,68300000,253.5,256.4,253.0
2026-02-04,AAPL,258.1,74200000,256.0,259.0,255.4
2026-02-05,AAPL,256.4,55800000,258.3,258.8,255.6
2026-02-06,AAPL,259.3,62500000,256.8,260.1,256.2
2026-02-10,AAPL,261.8,68700000,259.5,262.5,259.0
2026-02-11,AAPL,264.2,73400000,262.0,265.0,261.5
2026-02-12,AAPL,262.5,53600000,264.4,264.8,261.8
2026-02-13,AAPL,265.1,66200000,262.8,265.9,262.2
2026-02-17,AAPL,267.4,71500000,265.3,268.2,264.6
