date,close,volume,rsi
2026-01-01,95.0,1000000,45.0
2026-01-02,95.8,1050000,43.8
2026-01-03,96.6,1100000,42.6
2026-01-04,97.4,1150000,41.4
2026-01-05,98.2,1200000,40.2
2026-01-06,99.0,1250000,49.0
2026-01-07,99.8,1300000,47.8
2026-01-08,98.5,1350000,46.6
2026-01-09,99.3,1400000,45.4
2026-01-10,100.1,1450000,44.2
2026-01-11,100.9,1500000,53.0
2026-01-12,101.7,1550000,51.8
2026-01-13,102.5,1600000,50.6
2026-01-14,103.3,1650000,49.4
2026-01-15,102.0,1700000,48.2
2026-01-16,102.8,1750000,57.0
2026-01-17,103.6,1800000,55.8
2026-01-18,104.4,1850000,54.6
2026-01-19,105.2,1900000,53.4
2026-01-20,106.0,1950000,52.2
